restaurant_visits,restaurant_spend_usd,bar_lounge_visits,spa_treatments_count,spa_spend_usd,gym_checkins_count,pool_beach_visits_count,activity_bookings_count,kids_club_sessions,tour_bookings_count,business_center_hours,concierge_requests_count,transport_requests_count,laundry_requests_count,service_complaint_count,total_dining_spend,total_wellness_usage,total_business_services,family_activity_score,guest_cluster
3,300.62,0,0,0.0,1,6,3,1,1,0.0,1,0,1,0,300.62,7,2.0,5,1
6,348.77,3,1,210.06,0,0,1,0,0,0.0,0,0,1,0,724.12,1,1.0,1,0
2,165.34,5,1,178.15,0,0,4,0,4,0.0,0,0,3,0,248.57999999999998,1,3.0,8,5
3,203.69,1,3,581.55,3,2,1,0,1,0.0,2,0,1,1,360.63,8,3.0,2,2
5,312.47,2,0,0.0,1,2,7,0,3,0.0,2,2,2,0,312.47,3,6.0,10,5
5,286.7,1,0,0.0,0,2,3,0,5,0.0,5,0,0,0,344.28,2,5.0,8,5
2,209.22,0,0,0.0,1,8,2,1,3,0.0,3,3,1,0,311.34000000000003,9,7.0,6,1
1,70.0,0,0,0.0,0,0,0,0,1,0.0,0,0,0,0,70.0,0,0.0,1,4
1,64.39,0,0,0.0,0,0,0,0,0,0.0,2,0,0,2,64.39,0,2.0,0,4
11,1055.42,5,4,1022.89,1,2,1,0,2,0.0,3,0,0,1,1554.8000000000002,7,3.0,3,0
4,336.6,1,3,461.85,2,3,3,0,1,0.0,3,0,0,1,476.35,8,3.0,4,2
5,339.49,1,5,804.81,2,7,2,0,1,0.0,3,0,1,1,530.21,14,4.0,3,2
8,770.4,2,0,0.0,1,1,1,0,0,0.0,1,4,1,0,840.11,2,6.0,1,0
1,48.6,0,0,0.0,0,0,1,0,0,0.0,0,0,1,1,48.6,0,1.0,1,4
6,493.61,0,0,0.0,2,3,1,0,4,0.0,1,0,1,0,549.37,5,2.0,5,0
6,390.27,6,3,558.42,0,1,2,0,0,0.0,1,0,0,0,519.97,4,1.0,2,0
8,499.23,0,4,579.04,3,3,2,0,3,0.0,1,1,0,0,816.11,10,2.0,5,2
5,242.18,1,0,0.0,0,0,2,8,2,0.0,3,1,0,1,317.46000000000004,0,4.0,12,1
1,50.44,1,0,0.0,0,0,1,0,0,0.0,0,0,0,1,50.44,0,0.0,1,4
6,713.23,2,4,782.52,1,3,1,0,4,0.0,4,1,1,0,907.6700000000001,8,6.0,5,2
5,523.71,2,2,411.77,0,0,0,0,0,0.0,0,1,0,0,661.6800000000001,2,1.0,0,0
7,731.33,5,0,0.0,1,0,0,0,1,0.0,0,1,3,0,1124.72,1,4.0,1,0
1,81.79,2,7,688.23,3,3,1,0,0,0.0,0,0,0,0,81.79,13,0.0,1,2
3,184.65,0,3,479.85,3,2,2,0,1,0.0,1,1,0,0,234.33,8,2.0,3,2
6,393.54,2,7,658.05,2,2,2,0,1,0.0,3,0,0,0,463.79,11,3.0,3,2
6,235.8,3,6,695.99,1,7,1,0,2,0.0,2,0,0,0,313.51,14,2.0,3,2
0,0.0,0,2,211.27,4,1,2,0,1,3.2,1,1,0,0,144.51,7,5.2,3,4
2,168.33,1,1,169.62,3,0,3,0,3,0.0,1,6,0,0,247.23000000000002,4,7.0,6,5
7,412.11,2,0,0.0,0,0,1,0,2,0.0,0,1,1,0,559.6800000000001,0,2.0,3,0
11,743.57,2,0,0.0,1,1,0,0,1,0.0,1,1,0,0,997.9200000000001,2,2.0,1,0
4,278.46,0,0,0.0,1,5,1,0,0,0.0,3,1,0,0,358.16999999999996,6,4.0,1,4
5,232.92,2,1,119.18,0,0,0,0,0,0.0,2,0,2,1,380.02,1,4.0,0,4
2,112.24,0,0,0.0,1,0,1,0,0,0.0,0,0,1,1,112.24,1,1.0,1,4
2,205.17,0,4,486.25,3,4,3,0,0,0.0,2,0,0,0,400.46,11,2.0,3,2
2,52.62,1,0,0.0,0,1,1,0,0,0.0,0,0,0,2,52.62,1,0.0,1,4
7,459.29,1,0,0.0,0,1,3,0,3,0.0,7,0,0,1,518.04,1,7.0,6,5
8,398.55,0,1,166.44,0,2,3,0,3,0.0,2,0,0,0,536.9,3,2.0,6,1
0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,1,1,2,0.0,0,2.0,0,4
1,49.41,1,0,0.0,2,0,1,0,1,2.3,1,2,3,0,132.61,2,8.3,2,3
11,1039.22,0,0,0.0,1,2,9,0,3,1.9,1,2,0,0,1289.1,3,4.9,12,1
5,542.96,4,1,219.46,3,1,0,0,3,0.0,6,0,1,0,542.96,5,7.0,3,0
5,180.23,6,1,155.7,2,3,0,0,1,0.0,3,1,1,0,256.81,6,5.0,1,0
7,652.36,1,3,592.53,2,2,1,0,2,0.0,1,2,0,1,735.11,7,3.0,3,2
2,121.94,0,0,0.0,0,0,0,0,1,4.9,0,0,0,0,121.94,0,4.9,1,4
2,170.81,3,0,0.0,0,1,0,0,0,0.0,0,2,0,0,259.23,1,2.0,0,4
4,190.74,1,0,0.0,0,2,4,1,1,0.0,2,0,0,1,190.74,2,2.0,6,4
1,108.62,1,0,0.0,0,0,0,0,0,4.9,4,3,1,0,199.07999999999998,0,12.9,0,3
4,435.76,3,3,624.61,4,7,1,0,1,0.0,2,1,0,0,695.54,14,3.0,2,2
3,160.52,1,1,119.84,0,3,0,0,1,0.0,1,0,0,0,398.08000000000004,4,1.0,1,4
10,1068.75,2,3,512.03,1,4,0,0,0,0.0,3,0,1,0,1121.96,8,4.0,0,0
2,236.59,0,0,0.0,1,0,0,0,0,1.9,1,3,3,0,334.84000000000003,1,8.9,0,3
0,0.0,1,0,0.0,1,0,0,0,0,1.8,4,5,2,0,77.94,1,12.8,0,3
1,55.54,2,0,0.0,1,0,0,0,0,3.6,3,2,3,1,206.01,1,11.6,0,3
6,575.7,0,1,149.29,1,2,4,0,1,0.0,0,2,0,0,660.77,4,2.0,5,0
2,99.01,1,0,0.0,1,0,0,0,0,0.0,2,0,0,1,174.60000000000002,1,2.0,0,4
6,112.12,1,0,0.0,1,3,0,0,0,0.0,2,0,1,0,317.81,4,3.0,0,4
10,801.91,2,5,696.79,2,1,3,0,2,0.0,3,2,2,0,949.46,8,7.0,5,2
5,32.95,6,2,193.43,3,1,1,0,0,0.0,2,1,0,0,268.9,6,3.0,1,0
4,453.37,0,2,520.19,4,4,4,0,0,0.0,2,1,0,1,575.54,10,3.0,4,2
10,570.6,1,0,0.0,0,7,3,7,2,2.2,2,1,0,1,570.6,7,5.2,12,1
8,608.7,6,0,0.0,0,0,0,0,0,0.0,2,3,0,1,1068.64,0,5.0,0,0
1,114.95,0,0,0.0,0,0,1,0,0,0.7,2,2,2,0,315.24,0,6.7,1,3
6,417.08,2,3,416.7,0,1,4,0,1,0.0,2,0,2,0,417.08,4,4.0,5,0
0,0.0,0,0,0.0,0,1,0,0,0,0.0,0,0,0,0,0.0,1,0.0,0,4
1,54.32,1,0,0.0,0,3,0,0,1,0.0,1,0,0,3,54.32,3,1.0,1,4
1,65.35,5,0,0.0,1,1,0,0,0,1.9,0,3,2,0,234.19,2,6.9,0,3
0,0.0,1,1,148.36,1,1,1,0,0,2.0,3,1,2,0,60.96,3,8.0,1,3
6,600.01,3,2,449.97,1,2,1,0,0,0.0,1,1,1,0,835.39,5,3.0,1,0
4,344.15,2,6,1137.39,1,1,4,0,0,0.0,3,0,1,1,550.87,8,4.0,4,2
6,688.27,3,4,792.16,1,0,1,0,0,0.0,4,0,0,1,889.61,5,4.0,1,0
1,137.94,1,0,0.0,1,0,0,0,0,0.2,1,2,2,0,271.38,1,5.2,0,4
0,0.0,0,0,0.0,2,0,0,0,0,2.4,3,2,1,0,181.72,2,8.4,0,3
6,267.3,0,1,58.56,1,6,0,0,1,0.0,3,1,0,0,349.84000000000003,8,4.0,1,2
7,182.07,0,1,219.75,1,1,3,0,2,0.0,1,2,1,0,251.89999999999998,3,4.0,5,5
3,108.61,2,0,0.0,1,0,1,0,1,0.0,2,1,1,1,108.61,1,4.0,2,4
5,506.63,2,4,768.35,2,4,0,0,2,0.0,1,0,0,0,506.63,10,1.0,2,2
3,289.81,2,0,0.0,1,1,3,0,3,0.0,5,2,0,1,355.14,2,7.0,6,5
0,0.0,1,0,0.0,1,0,0,0,1,0.0,1,2,0,0,0.0,1,3.0,1,4
4,268.28,1,1,95.85,0,3,2,0,2,0.0,3,1,0,0,268.28,4,4.0,4,5
2,134.99,1,2,196.46,1,1,0,0,1,0.0,3,0,2,0,200.4,4,5.0,1,4
2,96.28,1,0,0.0,0,0,0,0,0,2.5,3,4,2,1,444.15999999999997,0,11.5,0,3
1,64.31,2,0,0.0,0,0,0,0,1,0.0,1,0,0,1,148.67000000000002,0,1.0,1,4
4,209.27,2,0,0.0,0,1,0,0,2,0.0,5,2,0,1,521.69,1,7.0,2,0
1,45.84,1,0,0.0,0,4,0,0,0,0.0,0,0,0,0,103.0,4,0.0,0,4
6,327.25,2,3,277.57,2,0,0,0,0,0.0,2,0,1,0,430.27,5,3.0,0,0
0,0.0,1,0,0.0,1,0,0,0,0,2.1,2,3,0,0,45.1,1,7.1,0,3
6,310.33,0,0,0.0,0,6,4,0,0,0.0,1,0,1,0,371.86,6,2.0,4,1
11,744.97,0,4,680.97,1,0,1,0,1,4.0,3,1,0,0,779.52,5,8.0,2,0
2,223.41,0,4,927.92,2,2,2,0,2,1.7,0,1,1,0,379.65999999999997,8,3.7,4,2
3,148.41,2,0,0.0,0,0,1,0,2,0.0,2,0,0,1,217.23,0,2.0,3,4
9,622.11,1,0,0.0,0,6,5,5,3,0.0,0,2,1,0,622.11,6,3.0,13,1
2,106.07,1,0,0.0,2,0,2,0,2,0.0,0,0,0,0,106.07,2,0.0,4,4
2,160.13,1,4,459.75,4,2,1,0,0,0.0,1,0,0,1,259.74,10,1.0,1,2
1,90.15,1,1,125.58,2,0,0,0,1,4.6,5,1,2,0,90.15,3,12.6,1,3
5,345.34,2,0,0.0,0,1,1,0,0,1.1,2,2,3,0,345.34,1,8.1,1,3
6,438.62,0,0,0.0,0,5,0,1,0,0.0,0,1,0,0,438.62,5,1.0,1,0
0,0.0,0,0,0.0,1,0,0,0,1,0.0,2,0,1,0,253.91,1,3.0,1,4
8,550.22,2,0,0.0,0,2,5,0,2,0.0,5,3,2,0,803.1,2,10.0,7,5
5,269.92,3,1,154.42,2,1,2,0,4,0.0,2,0,1,0,269.92,4,3.0,6,5
1,47.4,0,0,0.0,1,0,0,0,1,0.0,0,0,0,0,47.4,1,0.0,1,4
1,61.98,2,0,0.0,1,0,0,0,1,3.0,3,1,1,0,123.12,1,8.0,1,3
1,60.35,0,0,0.0,1,0,0,0,0,3.5,5,0,1,0,152.42,1,9.5,0,3
5,404.68,1,3,436.57,1,2,5,0,0,0.0,3,1,1,0,574.96,6,5.0,5,2
5,280.58,1,3,360.2,0,4,2,0,3,0.0,0,0,0,0,456.27,7,0.0,5,2
3,206.22,3,2,210.71,3,2,1,0,2,6.5,2,0,2,0,397.69,7,10.5,3,3
4,379.91,0,5,974.62,2,5,1,0,0,0.0,2,0,1,0,424.66,12,3.0,1,2
6,295.09,6,1,162.08,0,0,1,0,0,0.0,2,0,0,0,682.21,1,2.0,1,0
6,380.77,3,1,205.24,2,0,1,0,3,0.0,2,1,0,0,506.58,3,3.0,4,0
4,163.5,0,0,0.0,0,0,0,0,1,0.0,1,0,0,0,255.17000000000002,0,1.0,1,4
6,722.62,0,2,482.76,2,0,2,1,2,0.0,1,2,1,0,943.83,4,4.0,5,0
7,798.6,0,0,0.0,0,0,3,4,1,0.0,3,1,0,0,845.22,0,4.0,8,1
1,79.13,1,0,0.0,0,1,0,0,2,7.0,2,3,3,0,273.09000000000003,1,15.0,2,3
4,297.69,0,0,0.0,0,1,2,7,1,0.0,1,0,2,0,390.67,1,3.0,10,1
0,0.0,3,0,0.0,0,0,0,0,0,0.0,2,0,0,0,77.49,0,2.0,0,4
4,167.76,0,0,0.0,0,4,3,7,2,0.2,4,1,0,1,223.47,4,5.2,12,1
6,658.05,2,2,238.14,2,0,1,0,0,0.0,0,1,2,0,737.89,4,3.0,1,0
8,639.32,4,1,191.39,2,0,0,0,0,0.0,2,0,1,1,901.24,3,3.0,0,0
2,164.92,0,6,1055.84,2,1,2,0,1,0.0,0,1,0,0,211.07999999999998,9,1.0,3,2
6,506.16,3,0,0.0,1,0,0,0,1,0.0,2,0,0,1,922.11,1,2.0,1,0
4,420.31,0,2,358.76,1,5,2,0,0,0.0,3,0,0,0,420.31,8,3.0,2,2
7,552.88,1,0,0.0,0,4,0,5,1,0.0,2,1,0,0,729.94,4,3.0,6,1
4,205.86,0,0,0.0,3,4,2,7,2,0.0,0,1,2,1,205.86,7,3.0,11,1
9,523.65,1,5,562.25,0,6,3,0,1,0.0,1,0,0,0,810.13,11,1.0,4,2
2,159.85,1,0,0.0,0,3,1,3,2,0.0,3,2,0,0,210.93,3,5.0,6,1
3,253.5,0,1,149.32,0,1,5,5,0,0.0,4,3,0,1,319.0,2,7.0,10,1
0,0.0,0,2,492.84,1,2,2,0,6,0.0,5,1,0,0,0.0,5,6.0,8,5
0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,1,0,1,65.59,0,1.0,0,4
0,0.0,1,0,0.0,1,0,0,0,2,0.0,0,1,0,0,0.0,1,1.0,2,4
2,192.43,1,4,435.45,3,8,0,0,0,0.0,3,0,0,0,356.89,15,3.0,0,2
6,687.44,3,5,839.43,2,7,0,0,1,0.0,3,0,1,0,687.44,14,4.0,1,2
3,285.17,2,3,407.7,2,0,0,0,3,0.0,0,0,0,0,285.17,5,0.0,3,2
0,0.0,1,0,0.0,1,0,0,0,0,3.8,3,2,1,0,104.64,1,9.8,0,3
3,285.13,2,0,0.0,2,0,4,0,3,0.0,2,0,1,0,380.28999999999996,2,3.0,7,5
1,52.7,2,0,0.0,0,0,0,0,0,2.3,4,3,2,0,189.82999999999998,0,11.3,0,3
5,414.52,5,2,338.35,1,5,2,0,0,0.0,0,1,2,0,607.8399999999999,8,3.0,2,0
5,155.48,6,1,81.21,1,0,3,0,1,0.0,1,2,2,1,225.83999999999997,2,5.0,4,0
2,273.71,1,4,775.18,2,4,2,0,1,0.0,3,0,1,0,273.71,10,4.0,3,2
2,132.78,1,0,0.0,0,3,5,0,6,0.0,3,2,2,0,199.35,3,7.0,11,5
4,238.36,0,1,162.97,0,4,3,7,1,3.1,5,2,1,0,238.36,5,11.1,11,1
0,0.0,4,0,0.0,2,0,0,0,0,4.6,3,2,2,0,50.39,2,11.6,0,3
1,108.73,1,0,0.0,0,0,0,0,2,2.1,5,2,0,0,282.03000000000003,0,9.1,2,3
6,276.5,4,0,0.0,1,1,0,0,1,0.0,0,0,0,0,631.04,2,0.0,1,0
11,844.18,5,1,163.01,1,1,0,0,2,0.0,1,0,1,1,1081.76,3,2.0,2,0
5,292.61,3,1,95.47,1,2,1,0,0,0.0,0,2,0,0,492.84000000000003,4,2.0,1,0
1,70.65,5,0,0.0,2,0,0,0,2,2.7,7,2,1,1,70.65,2,12.7,2,3
6,782.52,0,0,0.0,2,2,4,1,4,0.0,2,4,0,1,909.16,4,6.0,9,5
1,60.16,2,1,112.43,1,3,2,0,3,0.0,4,1,0,0,60.16,5,5.0,5,5
5,229.97,0,1,49.09,0,4,3,0,1,0.0,1,0,1,0,229.97,5,2.0,4,1
6,536.14,3,0,0.0,0,0,2,0,0,0.0,1,1,0,0,859.8199999999999,0,2.0,2,0
10,1206.36,0,6,852.57,2,2,1,0,1,0.0,4,0,1,1,1406.75,10,5.0,2,2
5,250.79,0,0,0.0,0,0,3,5,0,0.0,1,1,0,0,250.79,0,2.0,8,1
5,541.79,0,0,0.0,0,6,3,0,5,0.0,1,0,0,1,601.1999999999999,6,1.0,8,1
4,261.32,4,0,0.0,0,1,0,0,1,0.5,3,0,1,1,261.32,1,4.5,1,4
5,593.3,4,1,127.56,2,0,1,0,0,0.0,2,0,1,1,723.4499999999999,3,3.0,1,0
2,125.89,2,0,0.0,0,0,0,0,2,0.0,0,1,0,1,125.89,0,1.0,2,4
7,442.84,6,0,0.0,0,2,2,0,2,4.3,1,0,0,0,648.63,2,5.3,4,0
8,639.82,5,2,250.18,1,1,1,0,0,0.0,0,3,1,0,879.1200000000001,4,4.0,1,0
4,317.37,1,0,0.0,1,4,5,8,0,0.0,3,1,2,0,425.23,5,6.0,13,1
6,431.56,4,2,522.15,3,3,0,0,1,1.8,2,0,1,0,542.96,8,4.8,1,2
5,398.77,0,0,0.0,0,3,6,0,3,0.0,5,2,2,0,478.15,3,9.0,9,5
2,220.44,2,1,195.98,4,0,2,0,0,0.0,1,0,1,0,433.95,5,2.0,2,4
5,448.46,1,0,0.0,0,4,3,0,2,0.0,4,1,0,1,701.8,4,5.0,5,1
3,145.97,1,0,0.0,0,0,0,0,0,1.0,3,2,3,0,214.04,0,9.0,0,3
1,89.81,1,0,0.0,0,0,0,0,2,0.0,1,0,0,0,89.81,0,1.0,2,4
3,346.24,4,2,364.17,2,3,2,0,1,0.0,2,1,2,0,528.05,7,5.0,3,2
1,91.89,0,1,130.42,3,0,5,0,4,0.0,4,2,0,1,126.86,4,6.0,9,5
3,217.36,0,1,181.41,5,1,3,0,2,0.0,0,2,0,0,417.82000000000005,7,2.0,5,5
3,276.47,0,0,0.0,0,3,3,7,0,0.0,0,0,2,0,527.87,3,2.0,10,1
3,179.04,2,0,0.0,0,3,3,0,4,0.0,0,0,0,0,263.23,3,0.0,7,1
7,726.84,4,1,96.09,4,5,2,0,1,0.0,2,1,0,0,795.7,10,3.0,3,2
0,0.0,2,0,0.0,0,0,0,0,0,1.3,4,4,2,0,125.45,0,11.3,0,3
0,0.0,3,0,0.0,0,0,0,0,0,2.2,5,4,0,1,167.35,0,11.2,0,3
4,255.91,1,2,192.11,5,1,0,0,1,0.0,0,0,0,0,255.91,8,0.0,1,2
5,318.65,5,1,131.72,0,0,0,0,0,0.0,0,0,1,0,418.97999999999996,1,1.0,0,0
2,114.68,1,0,0.0,1,0,0,0,0,2.4,1,2,4,0,241.13,1,9.4,0,3
9,1024.72,1,0,0.0,0,0,1,0,1,0.0,1,2,0,0,1162.92,0,3.0,2,0
3,124.79,0,0,0.0,1,3,3,2,0,0.0,1,1,0,0,208.51,4,2.0,5,1
0,0.0,0,0,0.0,1,0,0,0,0,0.0,0,0,1,1,0.0,1,1.0,0,4
5,299.45,6,0,0.0,0,0,0,0,1,0.0,1,3,0,0,351.99,0,4.0,1,0
6,429.47,0,1,188.34,2,5,2,4,1,0.0,1,4,2,1,429.47,8,7.0,7,1
0,0.0,0,0,0.0,0,0,1,0,2,0.0,0,1,0,0,0.0,0,1.0,3,4
7,399.24,2,0,0.0,1,2,2,2,1,0.0,0,1,0,0,399.24,3,1.0,5,0
8,210.12,1,1,198.45,1,1,4,6,3,0.0,0,1,1,0,334.51,3,2.0,13,1
6,737.08,5,2,460.9,2,6,3,0,0,0.0,3,0,0,0,1040.42,10,3.0,3,2
7,775.82,4,2,503.28,0,0,1,0,1,6.0,2,1,0,1,1086.4,2,9.0,2,0
2,222.6,0,1,201.64,0,1,0,0,0,1.9,2,1,1,0,296.03999999999996,2,5.9,0,4
5,351.63,5,0,0.0,2,0,1,0,1,0.0,0,0,0,1,460.3,2,0.0,2,0
6,257.84,1,1,113.96,2,1,1,0,5,0.0,2,1,1,0,286.89,4,4.0,6,5
7,568.77,0,0,0.0,0,0,6,0,0,0.0,1,0,0,0,893.0,0,1.0,6,0
5,248.53,1,0,0.0,0,0,0,0,1,0.0,1,0,0,0,497.74,0,1.0,1,4
6,442.19,5,0,0.0,0,0,1,0,0,0.0,0,2,0,0,522.47,0,2.0,1,0
0,0.0,1,0,0.0,1,0,0,0,1,3.6,3,2,2,1,233.94,1,10.6,1,3
1,102.13,1,0,0.0,2,0,0,0,0,5.2,5,1,1,0,259.76,2,12.2,0,3
8,635.42,1,4,450.36,2,2,0,0,1,0.0,2,0,1,0,739.76,8,3.0,1,2
3,178.59,0,0,0.0,2,0,4,0,5,0.0,5,3,0,0,233.76,2,8.0,9,5
7,508.16,1,2,253.79,1,0,0,0,2,0.0,2,1,2,0,570.38,3,5.0,2,0
4,209.13,2,0,0.0,0,1,3,3,2,0.0,1,0,2,0,431.78999999999996,1,3.0,8,1
6,231.57,0,2,423.7,6,1,0,0,1,0.0,0,0,1,0,664.55,9,1.0,1,2
9,561.24,2,1,160.85,5,1,0,0,2,0.4,1,1,0,0,633.21,7,2.4,2,0
5,433.13,2,3,450.34,4,8,1,0,0,0.0,4,0,1,0,520.98,15,5.0,1,2
10,779.01,1,2,293.24,2,5,1,0,0,0.0,1,0,2,0,829.18,9,3.0,1,2
3,266.34,0,0,0.0,0,2,4,0,3,0.0,3,0,2,0,266.34,2,5.0,7,5
1,70.81,0,0,0.0,2,0,0,0,0,0.6,1,2,0,0,151.71,2,3.6,0,4
3,267.21,1,0,0.0,0,0,0,0,0,3.9,3,1,2,0,434.21,0,9.9,0,3
3,128.68,1,4,246.79,3,3,1,0,1,0.0,1,0,1,0,128.68,10,2.0,2,2
7,449.44,0,0,0.0,2,0,0,0,0,0.0,2,3,0,1,562.71,2,5.0,0,0
3,219.97,5,2,313.96,3,3,3,0,0,0.0,2,0,0,0,402.32,8,2.0,3,2
5,264.68,1,0,0.0,1,1,2,0,7,0.0,4,1,1,0,355.93,2,6.0,9,5
7,623.47,0,1,134.31,7,2,1,0,0,3.3,0,0,0,0,718.19,10,3.3,1,2
0,0.0,0,1,154.47,1,0,0,0,1,1.7,2,1,2,0,247.76,2,6.7,1,3
2,161.94,2,0,0.0,3,0,0,0,0,2.5,3,2,2,0,342.78999999999996,3,9.5,0,3
2,100.01,0,0,0.0,0,0,0,0,0,2.3,2,4,6,0,100.01,0,14.3,0,3
2,151.32,1,0,0.0,2,0,5,0,5,0.0,3,4,0,0,208.43,2,7.0,10,5
1,105.89,2,1,181.45,1,0,1,0,1,1.2,0,1,1,1,208.07999999999998,2,3.2,2,4
3,223.08,0,0,0.0,5,2,2,0,7,0.0,3,2,0,0,304.24,7,5.0,9,5
6,575.34,0,3,144.97,5,1,2,0,0,0.0,0,2,0,0,855.99,9,2.0,2,2
10,952.95,2,2,450.54,1,0,0,0,0,0.0,3,2,0,0,1218.3400000000001,3,5.0,0,0
8,873.89,0,0,0.0,0,3,5,5,0,3.5,2,1,0,1,989.77,3,6.5,10,1
1,129.16,4,1,190.66,1,0,6,0,7,3.1,4,1,1,1,129.16,2,9.1,13,5
4,338.91,1,1,78.0,3,3,4,0,5,0.0,5,3,1,0,338.91,7,9.0,9,5
4,254.12,1,0,0.0,1,1,4,4,6,0.0,3,3,1,2,542.39,2,7.0,14,5
4,279.64,2,4,803.63,1,5,4,0,1,0.0,3,2,1,0,677.7,10,6.0,5,2
3,191.85,2,2,272.83,1,1,1,1,4,0.0,6,2,0,0,191.85,4,8.0,6,5
3,271.14,0,0,0.0,1,2,5,2,1,0.0,1,0,0,0,333.31,3,1.0,8,1
1,55.62,0,0,0.0,0,0,0,0,0,0.0,2,0,0,0,55.62,0,2.0,0,4
10,593.88,3,0,0.0,1,0,0,0,0,0.0,2,0,0,1,666.31,1,2.0,0,0
1,72.11,0,0,0.0,0,0,0,0,0,3.9,1,1,3,0,72.11,0,8.9,0,3
2,263.48,0,4,883.16,3,3,3,0,1,0.0,2,1,0,0,263.48,10,3.0,4,2
5,384.33,1,0,0.0,0,4,1,3,2,0.0,4,1,0,0,384.33,4,5.0,6,1
6,691.75,1,2,407.42,0,2,2,4,1,0.0,4,1,0,0,1044.23,4,5.0,7,1
1,86.26,0,0,0.0,0,0,1,0,0,0.0,1,2,0,1,86.26,0,3.0,1,4
6,532.48,5,1,245.19,2,1,2,0,1,0.0,0,0,0,1,885.05,4,0.0,3,0
5,264.33,1,1,44.39,3,1,6,0,1,0.3,5,1,0,0,377.51,5,6.3,7,5
0,0.0,1,7,2068.26,4,0,1,0,2,0.0,4,0,0,0,149.56,11,4.0,3,2
8,694.45,5,1,177.13,2,1,5,1,2,0.0,1,1,1,0,872.26,4,3.0,8,0
4,181.9,0,0,0.0,0,1,2,2,2,0.0,1,1,0,0,181.9,1,2.0,6,1
3,302.28,0,3,621.85,2,3,2,1,2,5.4,2,2,0,0,479.59999999999997,8,9.4,5,2
7,341.19,0,5,354.79,1,1,1,0,0,0.0,1,0,1,0,401.08,7,2.0,1,2
1,91.81,1,0,0.0,1,1,1,0,0,0.9,1,2,0,1,155.52,2,3.9,1,4
5,451.35,3,4,966.39,2,4,2,0,4,0.0,3,2,0,0,584.88,10,5.0,6,2
7,566.94,1,6,1112.66,0,1,0,0,2,0.0,0,1,1,0,681.07,7,2.0,2,2
1,75.75,0,0,0.0,1,0,0,0,0,4.5,0,1,0,0,161.28,1,5.5,0,4
2,238.92,3,0,0.0,0,1,0,0,0,0.8,4,2,1,1,398.32,1,7.8,0,3
